,team_member_id,department,years_employeed,employee_level,team_leader,access_level
21501,21501,Data Science,3,senior,1,
3084,3084,IT,1,junior,0,level_5
13110,13110,Data Science,4,specialist,0,level_5
6288,6288,,9,specialist,1,level_5
26548,26548,Customer Support,6,junior,0,level_5
24508,24508,IT,2,junior,0,level_3
6621,6621,Data Science,5,N/A,0,level_1
29453,29453,Human Resources,7,associate,0,
3172,3172,N/A,7,junior,0,
12869,12869,N/A,2,specialist,1,level_4
18069,18069,,1,,0,level_1
7773,7773,Operation Research,5,junior,0,level_2
27408,27408,Human Resources,9,specialist,0,level_4
28598,28598,Customer Support,5,specialist,1,level_1
20191,20191,IT,999,associate,0,level_4
627,627,Product Management,1,specialist,1,level_5
29333,29333,Customer Support,999,associate,0,level_2
17486,17486,N/A,9,senior,0,level_4
2411,2411,Operation Research,9,senior,0,N/A
26619,26619,Data Science,9,N/A,0,level_2
2118,2118,N/A,-1,specialist,0,
6682,6682,Data Science,0,specialist,0,level_3
26407,26407,Human Resources,2,senior,0,level_3
558,558,Operation Research,2,junior,0,level_1
21311,21311,,7,senior,0,
18459,18459,Operation Research,9,junior,0,
12931,12931,Human Resources,6,associate,0,
20010,20010,Human Resources,1,,1,level_1
29569,29569,Product Management,6,associate,0,level_3
18957,18957,Human Resources,8,N/A,0,
24789,24789,,4,senior,1,level_5
9626,9626,,1,associate,1,
29474,29474,IT,0,specialist,1,level_1
7155,7155,Human Resources,9,associate,0,
16792,16792,Human Resources,4,specialist,0,level_2
1081,1081,N/A,2,specialist,0,level_1
9663,9663,Customer Support,8,N/A,0,N/A
12635,12635,Data Science,4,associate,0,level_1
9907,9907,Customer Support,7,senior,0,level_5
1696,1696,IT,4,specialist,0,level_3
26137,26137,Product Management,3,N/A,1,
26723,26723,Operation Research,3,,0,
28067,28067,Data Science,9,N/A,0,level_4
22066,22066,Data Science,9,senior,0,level_2
6976,6976,IT,5,specialist,0,level_4
8786,8786,,6,senior,0,N/A
18323,18323,N/A,999,specialist,0,level_5
14723,14723,Operation Research,2,,0,
619,619,Data Science,999,N/A,0,level_5
14777,14777,Customer Support,1,specialist,0,level_5
8976,8976,Customer Support,5,associate,0,N/A
6755,6755,Customer Support,-1,specialist,0,
27102,27102,Product Management,0,senior,0,
4006,4006,N/A,0,associate,0,level_2
28396,28396,N/A,2,specialist,0,level_1
9135,9135,Operation Research,3,N/A,0,level_3
6816,6816,N/A,1,junior,0,N/A
18711,18711,Data Science,1,N/A,0,level_5
13038,13038,Operation Research,0,junior,0,level_2
588,588,Product Management,8,junior,0,
21978,21978,IT,8,associate,1,level_4
3828,3828,Customer Support,2,senior,0,level_2
11425,11425,Customer Support,6,senior,1,level_2
8222,8222,N/A,1,,0,level_1
19107,19107,,5,junior,0,level_1
6131,6131,Data Science,8,N/A,0,level_1
22635,22635,Customer Support,3,N/A,0,level_3
9958,9958,Product Management,3,senior,1,level_3
2764,2764,N/A,1,junior,0,level_4
2111,2111,Product Management,4,associate,0,level_2
3787,3787,Customer Support,1,specialist,0,N/A
13605,13605,,5,specialist,0,N/A
16239,16239,,7,junior,0,
521,521,Product Management,9,senior,0,N/A
5109,5109,Customer Support,9,,0,
11446,11446,IT,6,junior,0,level_3
17303,17303,Data Science,6,junior,0,N/A
19556,19556,Human Resources,6,junior,1,level_2
10167,10167,Human Resources,8,associate,0,level_1
17479,17479,N/A,1,associate,0,level_3
14930,14930,Operation Research,1,,0,level_5
18234,18234,Operation Research,1,N/A,0,level_4
20825,20825,Operation Research,7,N/A,0,level_1
3712,3712,Human Resources,5,,0,
12540,12540,Customer Support,7,N/A,0,level_4
26735,26735,IT,4,,1,level_1
18259,18259,,8,senior,0,level_4
4312,4312,N/A,0,junior,1,
8071,8071,Customer Support,4,associate,0,level_2
1007,1007,Product Management,4,specialist,1,
5732,5732,IT,999,associate,0,level_1
19911,19911,IT,4,,0,level_2
6116,6116,IT,7,senior,0,level_4
8694,8694,Customer Support,7,specialist,0,
13093,13093,Data Science,7,associate,0,level_2
16685,16685,Human Resources,8,senior,0,level_5
24153,24153,,999,specialist,0,
26945,26945,Operation Research,2,junior,0,level_5
26706,26706,Product Management,9,N/A,0,level_2
13128,13128,Human Resources,5,associate,1,N/A
18682,18682,,8,,0,level_2
6299,6299,Operation Research,3,specialist,0,level_4
8170,8170,Human Resources,-1,senior,1,level_5
9685,9685,,-1,junior,0,N/A
16292,16292,Data Science,3,N/A,0,
